"filename","runnr","nHITS","of","RESID","SSwR","datetime","aHIVdeath","aHIVslowrecov","aHIVtreatinit","alphaH","alphaHmul2010","atheta","chi","epsilonH","epsilonHmul2010","eta","j1A0","j2A0","j3A0","j4A0","kappa","lambdaH","muDc","muH1","muH2","muK","multiplier","pEhigh","phiH","phiHmul2010","phiS","pR","pT","rho","sageA15","sigma","smul","theta","zeta"
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.71,9.292,"2021-12-17_14h31m09s",2.95326,0.65849,1.07003,0.88566,0.49177,22.19597,0.23878,0.50034,0.40472,0.62263,0.33436,0.45001,0.48083,0.53287,0.17336,1.23511,0.10578,0.012,0.02597,0.02095,0.33644,0.37471,1.83142,4.55176,0.02711,0.65985,0.0013,0.00454,0.90395,0.00048,0.89677,0.08654,0.38997
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.93,10.38,"2021-12-17_14h31m16s",2.95326,0.65849,1.07003,0.88566,0.49177,22.19597,0.23878,0.50034,0.40472,0.62263,0.33436,0.45001,0.48083,0.53287,0.17336,1.23511,0.10578,0.00574,0.06269,0.02095,0.33644,0.37471,1.83142,4.55176,0.02711,0.65985,0.0013,0.00454,0.90395,0.00048,0.89677,0.08654,0.38997
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.19,10.95,"2021-12-17_14h35m28s",2.95209,0.65781,1.07215,0.88527,0.49036,22.21523,0.23891,0.50003,0.40577,0.62554,0.33469,0.44985,0.4807,0.53433,0.17357,1.23342,0.10617,0.00574,0.06008,0.02095,0.33642,0.38046,1.82979,4.55161,0.02709,0.66019,0.0013,0.00452,0.90432,0.00048,0.89682,0.08643,0.3876
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.61,9.128,"2021-12-17_14h39m31s",2.94852,0.65748,1.06857,0.88489,0.48887,22.24493,0.23893,0.49972,0.40663,0.62588,0.33516,0.4498,0.48066,0.5354,0.1739,1.23238,0.10668,0.012,0.0238,0.02095,0.3364,0.37519,1.82817,4.55145,0.0271,0.66007,0.0013,0.00453,0.90489,0.00048,0.89724,0.08645,0.38981
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.73,10.13,"2021-12-17_14h39m38s",2.94852,0.65748,1.06857,0.88489,0.48887,22.24493,0.23893,0.49972,0.40663,0.62588,0.33516,0.4498,0.48066,0.5354,0.1739,1.23238,0.10668,0.00573,0.05747,0.02095,0.3364,0.37519,1.82817,4.55145,0.0271,0.66007,0.0013,0.00453,0.90489,0.00048,0.89724,0.08645,0.38981
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.86,10.51,"2021-12-17_14h43m48s",2.94628,0.65671,1.06998,0.88437,0.48715,22.27349,0.23907,0.4993,0.40787,0.629,0.33561,0.44962,0.48052,0.53721,0.17421,1.23268,0.1072,0.00573,0.05444,0.02095,0.33636,0.3797,1.82598,4.55124,0.02708,0.66037,0.0013,0.00452,0.90541,0.00048,0.89748,0.08634,0.38751
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.48,9.831,"2021-12-17_14h48m03s",2.94223,0.65624,1.06644,0.88387,0.48545,22.3081,0.2391,0.49888,0.40899,0.62991,0.33619,0.44953,0.48045,0.53868,0.17461,1.23145,0.10782,0.00573,0.05164,0.02095,0.33633,0.37512,1.82379,4.55103,0.02708,0.66029,0.0013,0.00453,0.9061,0.00048,0.89801,0.08634,0.38956
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.56,10.12,"2021-12-17_14h52m15s",2.93985,0.65555,1.06758,0.88337,0.48399,22.33618,0.23923,0.49846,0.41013,0.63275,0.33662,0.44936,0.48031,0.54041,0.1749,1.23263,0.10831,0.00573,0.04916,0.02095,0.33629,0.3791,1.82159,4.55082,0.02707,0.66054,0.0013,0.00451,0.90661,0.00048,0.89833,0.08624,0.38726
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.23,9.558,"2021-12-17_14h56m27s",2.93527,0.65497,1.06412,0.88278,0.48226,22.37514,0.23928,0.49796,0.41141,0.63407,0.33728,0.44925,0.48022,0.54218,0.17535,1.23137,0.109,0.00573,0.04647,0.02095,0.33626,0.37497,1.81891,4.55056,0.02707,0.66047,0.0013,0.00452,0.90739,0.00049,0.899,0.08624,0.38919
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,18.37,12.25,"2021-12-17_15h14m13s",3.00799,0.70935,1.04404,0.72485,0.6636,21.54147,0.23675,0.53749,0.36527,0.59418,0.29928,0.42157,0.49132,0.49452,0.17065,1.25268,0.08913,0.012,0.07382,0.01946,0.25881,0.38162,1.75343,4.22984,0.02855,0.64859,0.00133,0.00426,0.90766,0.00055,0.82853,0.08329,0.38586
