scenario,input,xml,runtype
baseline,input.csv,XMLinput_epi_baseline_bmgf.xml,baseline
M72_AI_POD_50_10yr_med_2030_diffageswrout,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2030_diffageswrout.xml,M72_AI_POD_50_10yr_med_2030_diffageswrout
