scenario,input,xml,runtype
baseline,input.csv,XMLinput_epi_baseline_bmgf.xml,baseline
BCG_NCI_POI_45_10yr_low_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_low_2025_counttest.xml,BCG_NCI_POI_45_10yr_low_2025
